Lakers,9391
Wilkins,11
Hornets,608
Bibby,36
Celtics,7367
Rockets,295
Kirilenko,8
Cardinal,21
Schr\xc3\xb6der,-1
Anthony,311
Rubio,1
Raptors,5733
Mavs,3
Walker,3306
Keefe,6
Jackson,1
Wiggins,81
Billups,676
Haslem,7
Love,5
Jeffries,3
Heinsohn,13
Nuggets,484
Mutombo,2
Mavericks,703
Rose,74
Copeland,17
Fournier,0
Young,79
Nets,3393
McGrady,16
Booker,10
Szczerbiak,1
McCollum,4
Cunningham,13
Cabarkapa,94
Harden,7
Carter,1
Korver,58
Montross,-3
Bogues,8
Supersonics,7118
Cavaliers,3041
Thomas,59
Thuder,15
Jamison,2
Miner,7
Chamberlain,9
Rice,1
Crowder,1143
Peace,1
Bulls,7547
Vujacic,44
Marshall,1
Frazier,3
Lenard,518
Brown,9
Pacers,2347
USA,3
Biyombo,44
Galloway,1
NBA,1580
Sullinger,1
Warriors,16901
Pistons,421
Horford,8
Blazers,928
Crawford,4
LaVine,1
Stockton,1
Oubre,4
Aldridge,71
Walton,9
Clippers,671
McAdoo,1
DeRozan,19
Carter-Williams,5
Malone,1
Price,30
Cheaney,4
Clarkson,3
76ers,2122
Divac,7
Mashburn,7
Hawks,500
Arenas,1
Lowry,1
Bogut,12
West,302
Clark,1
Griffin,-10
Valanciunas,39
Braves,14
Paul,44
Spurs,667
Splitter,17
Knicks,6393
Barnes,2
Richmond,1
Russell,4
Huskies,56
Waiters,101
Kings,1804
Pelicans,239
Grizzlies,158
Elliott,1
Lin,648
KnickerBockers,3
Drummond,56
Tabak,14
Fortson,38
Grant,2
Suns,301
Speights,33
Biedrins,14
Murphy,5
Williams,721
Kupchak,8
Fox,10
Process,3537
Randle,3
Wizards,1619
Crabbe,256
Dare,3
Rondo,132
Wallace,6
Gasol,35
Barbosa,7
Bird,1562
Claxton,135
Stoudemire,10
Schrempf,12
Ewing,73
Bandwagon,2134
Heat,5499
Thunder,6166
Mullens,2
Timberwolves,3018
East,29
Smart,8
Sampson,3
Jazz,1825
Hunter,1
Magic,2731
Morrow,1
Collison,8
Bucks,1418
