Team,City,State,Count
Lakers,Los Angeles,California,339
Hornets,Charlotte,north Carolina,28
Celtics,Boston,Mass,146
Rockets,Houston,Texas,60
Raptors,Toronto,,134
Nuggets,Denver,Colorado,20
Nets,Brooklyn,New York,30
Bulls,Chicago,Illinois,109
Supersonics,Seattle,Washington,53
Bucks,Milwaukee,Wisconsin,16
Pacers,Indianapolis,Indiana,24
NBA,,,93
Pistons,Detroit,Michigan,61
Blazers,Portland,Oregon,55
Clippers,Los Angeles,California,16
76ers,Philadelphia,Pennsylvania,55
Hawks,Atlanta,georgia,13
West,,,59
Spurs,San Antonio,Texas,85
Knicks,New York ,new York,84
Huskies,Concord,Connecticut,10
Grizzlies,Memphis,tennesee,36
Kings,Sacramento,California,52
Pelicans,New Orleans,Louisiana,19
Warriors,Oakland,California,606
Suns,Phoenix,Arizona,31
Wizards,"Washington, D.C.",,39
Mavericks,Dallas,Texas,61
Bandwagon,,,112
Heat,Miami,Florida,192
Thunder,Oklahoma City,Oklahoma,72
Timberwolves,Minneapolis,Minnesota,77
Magic,Orlando,Florida,21
Cavaliers,Cleveland,Ohio,244
