,City,State,Count,Sscore,Avg
Lakers,Los Angeles,California,339,16301,48.09
Hornets,Charlotte,north Carolina,28,1792,64.00
Celtics,Boston,Mass,146,4490,30.75
Rockets,Houston,Texas,60,3630,60.50
Raptors,Toronto,,134,3107,23.19
Nuggets,Denver,Colorado,20,107,5.35
Nets,Brooklyn,New York,30,462,15.40
Bulls,Chicago,Illinois,109,2383,21.86
Supersonics,Seattle,Washington,53,2657,50.13
Bucks,Milwaukee,Wisconsin,16,362,22.63
Pacers,Indianapolis,Indiana,24,493,20.54
NBA,,,93,2173,23.37
Pistons,Detroit,Michigan,61,1058,17.34
Blazers,Portland,Oregon,55,3317,60.31
76ers,Philadelphia,Pennsylvania,55,5335,97.00
Hawks,Atlanta,georgia,13,201,15.46
West,,,59,3029,51.34
Spurs,San Antonio,Texas,85,2261,26.60
Knicks,New York ,new York,84,2311,27.51
Huskies,Concord,Connecticut,10,48,4.80
Grizzlies,Memphis,tennesee,36,156,4.33
Pelicans,Sacramento,California,52,147,2.83
Warriors,New Orleans,Louisiana,19,18307,963.53
Suns,Oakland,California,606,748,1.23
Wizards,Phoenix,Arizona,31,212,6.84
Mavericks,"Washington, D.C.",,39,2700,69.23
Bandwagon,Dallas,Texas,61,4454,73.02
Heat,,,112,7898,70.52
Thunder,Miami,Florida,192,6176,32.17
Timberwolves,Oklahoma City,Oklahoma,72,5720,79.44
Jazz,Minneapolis,Minnesota,77,78,1.01
Magic,Orlando,Florida,21,243,11.57
Cavaliers,Cleveland,Ohio,244,2818,11.55
